R,G,B,W
3445,3985,3209,11559
3444,3985,3211,11562
3446,3986,3214,11566
3449,3990,3216,11572
3451,3992,3216,11579
3447,3988,3212,11566
3446,3985,3209,11563
3438,3978,3205,11540
3440,3981,3206,11545
3437,3977,3202,11538
3447,3990,3215,11572
3437,3977,3205,11537
3438,3979,3206,11544
3437,3978,3205,11537
3439,3981,3207,11545
3436,3977,3204,11536
3448,3992,3218,11572
3373,3901,3163,11344
3427,3964,3187,11496
3423,3962,3186,11484
3420,3959,3186,11478
3420,3958,3184,11476
3420,3959,3184,11477
3423,3961,3188,11477
3425,3960,3190,11488
3416,3954,3182,11465
3418,3957,3182,11465
3422,3958,3185,11480
3422,3959,3185,11483
3423,3960,3184,11484
3425,3961,3188,11487
3424,3961,3188,11488
3423,3960,3187,11487
3425,3961,3189,11493
3418,3955,3182,11468
3416,3953,3181,11463
3417,3954,3183,11465
3434,3975,3200,11522
3441,3983,3205,11544
3414,3951,3182,11457
3413,3952,3180,11456
3413,3952,3181,11458
3462,4008,3224,11610
3344,3866,3140,11239
3398,3933,3161,11398
3405,3939,3166,11420
3424,3957,3184,11484
3423,3958,3183,11479
3419,3954,3177,11462
3407,3942,3165,11422
3413,3947,3172,11444
3408,3943,3170,11431
3405,3940,3167,11417
3400,3936,3163,11405
3395,3929,3159,11390
3397,3932,3161,11397
3402,3938,3166,11415
3400,3936,3163,11406
3402,3939,3166,11410
3403,3942,3167,11414
3413,3953,3178,11451
3388,3911,3155,11366
3260,3771,3061,10966
3392,3925,3155,11372
3420,3957,3178,11461
3417,3954,3175,11451
3418,3955,3176,11455
3418,3955,3174,11453
3412,3949,3170,11435
3409,3946,3168,11428
3412,3950,3170,11436
3411,3949,3171,11436
3411,3948,3170,11434
3411,3949,3171,11434
3419,3958,3178,11459
3423,3963,3183,11473
3413,3953,3174,11439
3200,3702,3007,10780
3385,3914,3148,11346
3385,3920,3151,11341
3440,3980,3189,11506
3427,3968,3176,11471
3431,3969,3182,11480
3431,3970,3183,11483
3432,3971,3184,11488
3431,3971,3184,11486
3434,3974,3188,11497
3435,3975,3189,11499
3436,3975,3188,11501
3437,3978,3191,11506
3436,3977,3190,11503
3438,3979,3193,11513
3438,3979,3193,11512
3437,3979,3193,11509
3453,3993,3205,11560
3241,3751,3033,10898
3393,3926,3154,11369
3461,4001,3206,11574
3461,4002,3206,11573
3461,4002,3207,11575
3461,4001,3206,11575
3464,4005,3208,11583
3465,4005,3209,11584
3468,4007,3211,11590
3468,4006,3211,11596
3465,4004,3210,11588
3463,4001,3209,11583
3461,3998,3206,11575
3454,3993,3200,11555
3452,3994,3199,11542
3455,3994,3201,11551
3454,3993,3200,11551
3453,3992,3199,11547
3453,3992,3199,11549
3455,3995,3202,11556
3455,3995,3202,11556
3456,3995,3202,11558
3456,3995,3202,11557
3454,3994,3201,11553
3453,3993,3200,11549
3454,3993,3201,11552
3453,3993,3201,11548
3450,3989,3197,11539
3452,3992,3200,11545
3451,3990,3199,11541
3453,3993,3202,11551
3450,3990,3199,11540
3451,3991,3200,11545
3441,3986,3193,11514
3500,4048,3243,11711
3437,3976,3188,11498
3443,3982,3193,11516
3444,3984,3195,11523
3443,3982,3194,11518
3441,3981,3193,11511
3445,3984,3196,11523
