,"Mjerenje RGB 3,5ml bijelog vina",,,,,
,Vrijeme između mjerenja [ms],R,G,B,W,Vrijednost dodira
,617,811,1056,1072,3228,1244
,617,805,1051,1078,3219,1246
,617,776,1018,1041,3106,1248
,617,726,963,958,2900,1247
,617,727,963,946,2893,1244
,617,783,1031,1018,3107,1242
,617,868,1127,1126,3423,1242
,617,846,1112,1115,3350,1241
,617,1427,1824,1656,5309,1184
,617,1728,2197,1943,6333,191
,617,1706,2171,1918,6255,228
,617,1687,2153,1898,6193,506
,617,1701,2171,1906,6207,1227
,617,1753,2212,1947,6360,1218
,617,1784,2241,1972,6463,1213
,617,1795,2247,1975,6496,1214
,617,1770,2212,1938,6410,1218
,617,1723,2156,1891,6248,1219
,617,1641,2059,1804,5960,1243
,617,1535,1942,1687,5587,1247
,617,1258,1615,1368,4599,1248
,617,1261,1618,1357,4681,1246
,617,1575,1962,1668,5805,1246
,617,1665,2072,1784,6115,1249
,617,1575,1965,1704,5806,1252
,617,1409,1787,1534,5211,1201
,617,2048,2540,2145,7452,201
,617,2022,2505,2122,7361,195
,617,1994,2472,2099,7271,203
,617,1967,2443,2079,7182,1219
,617,1945,2419,2063,7108,1217
,617,1930,2398,2049,7060,1232
,617,1915,2377,2036,7010,1219
,617,1896,2356,2019,6945,1218
,617,1877,2332,2002,6884,1211
,617,1855,2307,1983,6805,1211
,617,1830,2278,1960,6717,1212
,617,1801,2242,1932,6624,1219
,617,1774,2190,1893,6549,1237
,617,1755,2164,1872,6487,1254
,617,1732,2134,1846,6405,1260
,617,1712,2106,1821,6330,1262
,617,1695,2085,1800,6264,1258
,617,1688,2073,1785,6225,1259
,617,1685,2067,1772,6198,1261
,617,1682,2067,1767,6181,1262
,617,1682,2066,1769,6198,1257
,617,1672,2060,1769,6169,1259
,617,1662,2047,1759,6120,1261
,617,1632,2014,1730,5990,1262
,617,1607,1984,1699,5873,1259
,617,1607,1984,1690,5858,1257
,617,1648,2033,1721,6000,1260
,617,1729,2125,1790,6277,1262
,617,1771,2177,1829,6418,1242
,617,1739,2148,1804,6320,679
,617,1502,1901,1593,5550,245
,617,1833,2304,1829,6592,1166
,617,3018,3710,2785,10529,194
,617,3017,3707,2783,10525,196
,617,3018,3708,2784,10528,240
,617,3020,3709,2785,10534,1222
,617,3020,3708,2784,10530,1221
,617,3021,3709,2785,10533,1219
,617,3020,3707,2785,10531,1221
,617,3019,3706,2784,10529,1224
,617,3018,3704,2784,10531,1222
,617,3017,3702,2783,10530,1220
,617,3015,3699,2782,10526,1222
,617,3015,3699,2781,10527,1224
,617,3013,3698,2780,10524,1223
,617,3011,3694,2775,10518,1219
,617,3010,3693,2774,10516,1221
,617,3011,3693,2774,10517,1223
,617,3001,3683,2766,10483,1219
,617,3000,3683,2769,10487,1218
,617,2999,3682,2768,10481,1223
,617,2995,3682,2767,10458,1224
,617,2993,3681,2766,10447,1221
,617,2993,3682,2767,10448,1219
,617,2993,3682,2766,10448,1222
